"","Course Name","Instructor","Section","Course Title","CRN","Subject","Enrollment","Responses","Declines","Department","Number","Course Related Questions Course","Course Related Questions Department","Course Related Questions University","Learning Related Questions Course","Learning Related Questions Department","Learning Related Questions University","Instructor Related Questions Course","Instructor Related Questions Department","Instructor Related Questions University","Instructor Effectiveness Course","Instructor Effectiveness Department","Instructor Effectiveness University","Syllabus Helped Course","Syllabus Helped Department","Syllabus Helped University","Textbook Helped Course","Textbook Helped Department","Textbook Helped University","Online Helped Course","Online Helped Department","Online Helped University","Assignments Helped Course","Assignments Helped Department","Assignments Helped University","Lectures Helped Course","Lectures Helped Department","Lectures Helped University","Inclass Helped Course","Inclass Helped Department","Inclass Helped University","Classroom Technology Helped Course","Classroom Technology Helped Department","Classroom Technology Helped University","Course Was Intellectual Course","Course Was Intellectual Department","Course Was Intellectual University","Learned a Lot Course","Learned a Lot Department","Learned a Lot University","Learned Concepts And Principles Course","Learned Concepts And Principles Department","Learned Concepts And Principles University","Developed Skills Expressing Course","Developed Skills Expressing Department","Developed Skills Expressing University","Learned Analyze and Evaluate Course","Learned Analyze and Evaluate Department","Learned Analyze and Evaluate University","Instructor Communication Skills Course","Instructor Communication Skills Department","Instructor Communication Skills University","Instructor Communicated Course","Instructor Communicated Department","Instructor Communicated University","Instructor Stated Objectives Course","Instructor Stated Objectives Department","Instructor Stated Objectives University","Instructor Covered Stated Course","Instructor Covered Stated Department","Instructor Covered Stated University","Instructor Prepared Course","Instructor Prepared Department","Instructor Prepared University","Instructor Used Class Time Well Course","Instructor Used Class Time Well Department","Instructor Used Class Time Well University","Instructor Provided Feedback Course","Instructor Provided Feedback Department","Instructor Provided Feedback University","Instructor Fairly Evaluated Performance Course","Instructor Fairly Evaluated Performance Department","Instructor Fairly Evaluated Performance University","Would Recommend Course","Would Recommend Department","Would Recommend University","Respected Students Course","Respected Students Department","Respected Students University","Instructor Took Effective Action Course","Instructor Took Effective Action Department","Instructor Took Effective Action University","Instructor Available Outside of Class Course","Instructor Available Outside of Class Department","Instructor Available Outside of Class University","Instructor Displayed Enthusiasm Course","Instructor Displayed Enthusiasm Department","Instructor Displayed Enthusiasm University","Instructor Overall Course","Instructor Overall Department","Instructor Overall University","Spent 1-4 Hours","Spent 5-8 Hours","Spent 9-12 Hours","Spent 13-16 Hours","Spent 17-20 Hours"
"945","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.5","4.1","4.4","14",NA,"48","23","11","Bioinorganic Chemistry (201630: Spring 2016)","Kirss, Rein","01","Bioinorganic Chemistry","35479","CHEM","17","17","1","Biology","3505","4.2","4.5","4.7","4.8","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.7","2.8","4.3","4.3","4.9","4.8","3.8","4.4","3.8","3.6","4.2","4.0","4.0","4.0","4.0","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.8","4.7","4.1","4.3","4.2","4.1","3.7","3.8","4.3","4.3","4.0","4.1","4.9","4.7","4.6","4.6","4.9","4.7","4.6","4.6","4.8","4.8","4.6","4.6","4.9","4.3","4.2","4.3","4.4","4.5","4.3","3.9","4.1","4.0","4.4","4.1","4.3","4.4","4.4","4.3"
"946","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.8","4.3","4.4","6","50","31","13",NA,"Lab for CHEM 3505 (201630: Spring 2016)","Kirss, Rein","01","Lab for CHEM 3505","36628","CHEM","17","12","1","Chemistry  Chemical Biology","3506","4.2","4.3","4.8","4.6","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.0","3.5","4.2","4.2","4.9","4.4","4.2","4.3","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.2","4.4","4.2","4.3","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.7","4.7","4.5","4.7","4.9","4.6","4.6","4.7","4.8","4.8","4.9","4.8","4.9","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"947","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.1","4.4","27",NA,"45","18",NA,"Organic Chemistry 3 (201630: Spring 2016)","Hanson, Robert","02","Organic Chemistry 3","35427","CHEM","35","34","1","Chemistry  Chemical Biology","4456","3.8","3.9","4.0","3.8","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.6","4.0","4.0","3.8","4.0","3.8","3.4","4.1","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.1","4.1","3.6","3.8","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.2","3.7","4.0","3.8","4.2","3.8","3.7","4.0","3.7","4.4","3.9","3.9","4.6","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"948","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.8","4.1","4.4","34","47",NA,"13",NA,"Lab for CHEM 4456 (201630: Spring 2016)","Hanson, Robert","01","Lab for CHEM 4456","35428","CHEM","35","30","4","Chemistry  Chemical Biology","4457","3.6","3.7","4.0","3.7","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.3","3.7","3.8","3.8","3.8","3.6","3.2","3.7","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.5","3.8","3.6","3.7","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.2","4.0","3.6","3.7","4.2","3.9","3.9","4.2","3.7","4.5","4.1","3.9","4.5","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"949","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.7","4.1","4.4","56","40","4",NA,NA,"Intro to Chemical Biology (201630: Spring 2016)","Lee-Parsons, Carolyn","01","Intro to Chemical Biology","35480","CHEM","22","18","1","Chemistry  Chemical Biology","4621","4.0","3.9","4.5","4.6","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.9","4.0","4.2","4.1","4.3","4.2","3.6","3.8","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.1","4.1","3.6","3.6","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.6","4.3","4.3","4.5","4.7","4.5","4.3","4.3","4.3","4.7","4.5","4.3","4.6","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"950","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.1","4.4","24","53","24",NA,NA,"Lab for CHEM 4621 (201630: Spring 2016)","Lee-Parsons, Carolyn","01","Lab for CHEM 4621","35482","CHEM","6","5","0","Chemistry  Chemical Biology","4622","3.7","3.5","4.1","4.4","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.6","2.0","4.0","3.5","3.8","3.6","4.3","3.8","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.6","3.4","3.2","3.8","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.3","4.3","4.3","4.3","4.3","4.3","3.5","4.0","4.0","4.3","4.0","4.0","4.0","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"951","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.1","4.4","40","40","20",NA,NA,"Lab for CHEM 4621 (201630: Spring 2016)","Lee-Parsons, Carolyn","02","Lab for CHEM 4621","35483","CHEM","16","11","3","Chemistry  Chemical Biology","4622","3.3","3.4","3.6","3.4","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.1","3.7","3.3","3.3","3.0","3.6","3.6","3.1","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.3","3.8","3.3","3.1","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","3.7","3.6","3.5","3.7","3.7","3.9","3.3","3.9","3.3","4.1","3.6","3.3","3.3","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"952","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.4","4.1","4.4","38","38","25",NA,NA,"Intro to Spectr of Org Compnds (201630: Spring 2016)","Fulton, Brian","01","Intro to Spectr of Org Compnds","35481","CHEM","27","18","0","Chemistry  Chemical Biology","4628","4.4","4.5","4.6","4.5","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.3","4.1","4.6","4.4","4.4","4.5","4.3","4.2","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.6","4.5","4.4","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.5","4.5","4.7","4.7","4.7","4.4","4.6","4.6","4.4","4.7","4.6","4.7","4.4","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"953","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.5","4.1","4.4","11","39","28","22",NA,"ID of Org Compounds (201630: Spring 2016)","Fulton, Brian","01","ID of Org Compounds","30919","CHEM","31","18","1","Chemistry  Chemical Biology","4629","4.4","4.4","4.5","4.4","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.2","4.3","4.6","4.5","4.5","4.5","4.2","4.3","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.5","4.2","4.2","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.3","4.2","4.4","4.6","4.6","4.3","4.6","4.7","4.3","4.7","4.5","4.5","4.4","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"954","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.1","4.4","47","35","6","12",NA,"Protein Mass Spectrometry (201630: Spring 2016)","Agar, Jeffrey","01","Protein Mass Spectrometry","33989","CHEM","30","28","0","Chemistry  Chemical Biology","5616","4.4","4.5","4.6","4.7","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.3","3.8","4.8","4.5","4.5","4.6","4.3","4.7","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.6","4.3","4.5","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.7","4.7","4.7","4.6","4.6","4.3","4.4","4.6","4.7","4.7","4.5","4.6","4.9","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"955","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.7","4.1","4.4",NA,"29",NA,"43","21","Protein Mass Spectrometry Lab (201630: Spring 2016)","Auclair, Jared","01","Protein Mass Spectrometry Lab","35136","CHEM","6","5","0","Chemistry  Chemical Biology","5617","4.5","4.7","4.6","4.8","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.0","4.0","4.4","4.6","4.2","5.0","5.0","4.2","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.8","4.6","4.6","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.8","4.4","4.4","4.6","4.6","4.4","4.4","4.6","4.4","4.8","4.6","4.8","4.6","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"956","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.8","4.1","4.4","60","20","20",NA,NA,"Protein Chemistry (201630: Spring 2016)","Colussi, Timothy","01","Protein Chemistry","33987","CHEM","24","14","0","Chemistry  Chemical Biology","5620","3.2","3.2","3.2","2.9","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.6","3.9","3.1","3.8","2.7","2.5","3.3","3.1","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.2","3.4","2.9","3.3","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","3.1","2.8","3.2","3.8","3.1","3.1","2.8","3.8","2.7","4.0","3.2","3.5","3.1","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"957","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","2.9","4.1","4.4","7","29","50","14",NA,"Protein Chemistry (201630: Spring 2016)","Engen, John","02","Protein Chemistry","35938","CHEM","34","25","1","Chemistry  Chemical Biology","5620","4.8","4.8","4.9","4.9","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.4","4.5","4.9","4.9","4.8","4.8","4.7","5.0","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.9","4.8","4.7","4.8","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","5.0","4.9","4.8","4.9","4.9","5.0","4.7","4.8","4.9","4.9","4.8","4.9","4.9","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"958","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.1","4.4",NA,"9","22","35","35","Prin Spec of Organic Compounds (201630: Spring 2016)","Fulton, Brian","02","Prin Spec of Organic Compounds","31934","CHEM","12","6","0","Chemistry  Chemical Biology","5628","4.6","4.4","4.5","4.3","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.7","4.8","5.0","4.5","4.3","4.7","4.5","4.5","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.7","3.8","4.5","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.4","4.5","4.7","4.7","4.5","4.3","4.7","4.7","4.3","4.8","4.5","4.5","4.3","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"959","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.1","4.4","33","17","17","33",NA,"Molecular Modeling (201630: Spring 2016)","Ondrechen, Mary Jo","01","Molecular Modeling","31063","CHEM","10","10","0","Chemistry  Chemical Biology","5638","4.3","4.5","4.5","4.4","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.3","0.0","4.1","4.2","3.4","4.7","4.8","4.5","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.8","4.5","4.3","4.2","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.5","4.2","4.7","4.7","4.6","4.2","4.6","4.4","4.5","4.6","4.4","4.6","4.8","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"960","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.1","4.4",NA,"30","20","30","20","Materials Chem Renewble Energy (201630: Spring 2016)","Smotkin, Eugene","01","Materials Chem Renewble Energy","32248","CHEM","13","10","0","Chemistry  Chemical Biology","5651","3.9","3.8","4.2","4.2","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.4","3.8","4.2","3.3","4.0","4.2","3.8","4.5","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.0","3.9","3.6","3.7","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.1","3.9","4.1","4.2","4.0","4.4","4.0","4.0","4.2","4.4","4.1","4.6","4.5","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"961","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.2","4.1","4.4",NA,"80","10","10",NA,"Analytical Biochemistry (201630: Spring 2016)","Hancock, William","01","Analytical Biochemistry","37324","CHEM","17","14","0","Chemistry  Chemical Biology","5660","3.0","3.0","3.4","3.2","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.1","2.6","3.1","3.1","2.8","3.2","3.1","2.9","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","2.7","2.9","3.3","3.2","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","3.8","3.1","3.2","3.6","3.1","3.1","3.1","3.7","2.9","4.2","3.6","3.4","3.8","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"962","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.2","4.1","4.4","21",NA,"50","21",NA,"Analytical Biochemistry (201630: Spring 2016)","Hancock, William","02","Analytical Biochemistry","37099","CHEM","32","21","0","Chemistry  Chemical Biology","5660","3.6","3.6","3.6","3.6","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","3.6","3.0","3.9","3.7","3.8","3.7","3.6","3.4","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.7","3.6","3.4","3.6","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","3.6","3.5","3.8","4.0","3.6","3.6","2.8","3.5","3.5","3.9","3.6","3.7","3.6","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"963","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.6","4.1","4.4","48",NA,"29","19",NA,"Organic Synthesis 2 (201630: Spring 2016)","O'Doherty, George","01","Organic Synthesis 2","32249","CHEM","13","10","0","Chemistry  Chemical Biology","5672","4.2","4.3","4.4","4.3","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.1","3.7","4.8","4.6","3.8","3.8","4.4","4.6","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.3","4.5","4.3","4.0","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.4","4.2","4.5","4.6","4.7","4.4","4.5","4.4","4.2","4.1","4.3","4.7","4.5","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"964","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.1","4.4","10","20","30","40",NA,"Bioorganic Chemistry (201630: Spring 2016)","Booth, Raymond","01","Bioorganic Chemistry","37285","CHEM","11","10","0","Chemistry  Chemical Biology","5676","4.4","4.7","4.7","4.9","3.9","3.8","4.2","4.1","4.1","4.2","4.4","4.4","4.2","3.4","4.6","4.8","4.6","4.8","4.6","4.1","3.8","3.9","4.0","4.0","3.6","3.7","3.6","4.2","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.6","4.9","4.5","4.0","4.0","3.4","3.6","4.3","4.3","4.0","4.1","4.9","4.9","4.7","4.7","4.8","4.7","4.4","4.8","4.9","4.9","4.7","4.4","4.8","4.2","4.0","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.5","4.1","4.2","4.4","4.4","4.3"
"965","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.1","4.4","30","30","10","30",NA,"Intro to Engr Co-op Education (201630: Spring 2016)","Kostanski, Sarah","01","Intro to Engr Co-op Education","30933","CHME","28","14","5","Chemical Engineering","2000","4.0","4.3","4.7","4.9","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.3","4.2","3.9","4.1","4.2","4.2","4.0","2.9","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.4","4.3","4.1","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.7","4.7","4.6","4.6","4.8","4.8","4.7","4.8","4.7","4.6","4.6","4.7","4.7","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"966","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.2","4.4","63","25","13",NA,NA,"Intro to Engr Co-op Education (201630: Spring 2016)","Vanselow, Janice","02","Intro to Engr Co-op Education","31843","CHME","24","8","2","Chemical Engineering","2000","4.3","4.6","4.9","4.8","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.7","5.0","4.7","4.7","4.2","4.2","4.3","2.6","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.7","4.7","4.4","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.8","5.0","5.0","5.0","5.0","4.3","5.0","5.0","4.8","5.0","5.0","5.0","5.0","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"967","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.8","4.2","4.4","83","17",NA,NA,NA,"Intro to Engr Co-op Education (201630: Spring 2016)","Walker, Jacob","03","Intro to Engr Co-op Education","36992","CHME","25","14","1","Chemical Engineering","2000","4.0","4.3","4.8","5.0","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.6","3.8","3.9","4.0","4.4","4.4","4.0","2.8","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.3","4.5","4.6","3.8","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.8","4.9","4.8","4.7","4.8","4.8","4.6","4.7","4.9","4.9","4.7","4.8","4.8","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"968","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","5.0","4.2","4.4","100",NA,NA,NA,NA,"Conservation Principles (201630: Spring 2016)","Willey, Ronald","01","Conservation Principles","33719","CHME","49","49","0","Chemical Engineering","2308","3.6","3.6","3.6","3.3","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.3","4.1","3.5","3.9","3.0","3.4","3.1","4.3","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.7","3.9","3.0","3.5","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","3.7","3.0","3.9","4.1","3.4","2.7","3.5","3.8","2.9","4.1","3.6","4.0","4.5","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"969","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.3","4.2","4.4","22",NA,"41","24","10","Conservation Principles (201630: Spring 2016)","Willey, Ronald","02","Conservation Principles","35905","CHME","39","36","1","Chemical Engineering","2308","3.5","3.5","3.4","3.1","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.2","4.3","3.3","3.9","2.7","3.1","2.9","4.5","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.7","3.9","3.0","3.5","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","3.2","2.6","3.4","3.5","2.8","2.4","3.5","3.8","2.6","4.1","3.5","3.8","4.4","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"970","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.1","4.2","4.4","14","40",NA,"37","6","Transport Processes 1 (201630: Spring 2016)","Satvat, Behrooz","01","Transport Processes 1","30257","CHME","33","14","2","Chemical Engineering","2310","4.4","4.3","4.6","4.8","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.4","4.3","3.7","4.4","4.6","4.2","4.2","4.9","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.8","4.8","3.7","3.7","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.8","4.6","4.7","4.7","4.7","4.5","4.4","4.3","4.4","4.8","4.8","4.4","4.8","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"971","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.8","4.2","4.4",NA,"25","50",NA,"17","Transport Processes 1 (201630: Spring 2016)","Satvat, Behrooz","02","Transport Processes 1","33933","CHME","38","21","2","Chemical Engineering","2310","4.2","4.1","4.3","4.4","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.4","4.2","2.9","4.0","4.2","4.3","3.3","4.8","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.5","3.2","3.9","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.6","4.1","4.5","4.4","4.8","4.4","4.0","4.4","4.0","4.5","4.0","4.3","4.7","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
"972","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.2","4.4",NA,"37",NA,"42","16","Lab for CHME 2310 (201630: Spring 2016)","Carter, Tracy","01","Lab for CHME 2310","30103","CHME","20","17","1","Chemical Engineering","2311","4.4","4.6","4.5","4.6","3.9","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.0","3.6","4.5","4.6","4.1","4.8","4.6","4.8","3.8","4.0","3.9","4.2","3.8","4.0","3.8","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.6","4.7","4.5","4.1","4.2","3.9","3.9","4.3","4.3","4.0","4.1","4.8","4.6","4.4","4.7","4.8","4.4","4.4","4.0","4.6","4.6","4.4","4.6","4.8","4.2","4.0","4.2","4.3","4.3","4.0","3.9","4.2","3.9","4.5","4.1","4.3","4.5","4.4","4.3"
